,,Museum,,Species,Phylum,Class,Order,Family,Collector,Continent,Country,State,County,Locality,Sex,,,Latitude,Longitude,,,Date,Year,,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
328220,1581514,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. Clayton,North America,USA,Illinois,DeKalb Co,"DeKalb, Montgomery Arboretum",Female,No,1581514,41.9316,-88.7639,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1958-05-06,,so | 77.2 | moderate ||| 11x6mm,"cabinet 478, shelf 10th from top",26.17,7.22,18.85,6.87,28.67,118,
328221,1581515,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. Clayton,North America,USA,Illinois,DeKalb Co,"DeKalb, 1 mi S",Female,No,1581515,41.9213,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1958-01-14,,| 89.0 |||| 3x1mm,"cabinet 478, shelf 10th from top",27.77,7.17,20.67,7.36,30.26,123,
328222,1581516,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,S. Elston,North America,USA,Illinois,DeKalb Co,DeKalb,Male,No,1581516,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1976-12-26,,|| none ||| 1.5x1.5mm,"cabinet 478, shelf 10th from top",26.4,8.63,19.33,9.69,29.21,119,
328223,1581517,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. Wilson,North America,USA,Illinois,DeKalb Co,DeKalb,Female,No,1581517,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1965-05-12,,| 48.8,"cabinet 478, shelf 10th from top",24.81,7.73,16.76,7.52,28.46,121,
328224,1581518,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,L. Witkowski,North America,USA,Illinois,DeKalb Co,DeKalb,,No,1581518,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1970-09-15,,,,,,,,,,
328225,1581519,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Otto,North America,USA,Illinois,DeKalb Co,DeKalb,,No,1581519,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1976-03-15,,|| little,"cabinet 478, shelf 10th from top",27,7.23,20.51,8,30.01,130,
328226,1581520,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,L. Bennett,North America,USA,Illinois,DeKalb Co,DeKalb,,No,1581520,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-05-25,,|| none,"cabinet 478, shelf 10th from top",24.73,7.3,16.21,7.53,29.52,124,
328227,1581521,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,G. D. Schnell,North America,USA,Illinois,DeKalb Co,DeKalb,,No,1581521,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1965-04-07,,,"cabinet 478, shelf 10th from top",27.1,7.56,19.8,7.42,29.08,127,
328228,1581522,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,G. D. Schnell,North America,USA,Illinois,DeKalb Co,DeKalb,Female,No,1581522,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1965-03-30,,sco | 82.8 | little ||| 8x5mm,"cabinet 478, shelf 14th from top",26.21,7.3,18.83,7.73,28.53,121,
328229,1581523,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Noffs,North America,USA,Illinois,DeKalb Co,DeKalb,Male,No,1581523,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1973-05-18,,|| moderate ||| 4x3mm,"cabinet 478, shelf 14th from top",24.05,6.86,17.27,7.27,26.98,125,
328230,1581524,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Tyler,North America,USA,Illinois,DeKalb Co,DeKalb,,No,1581524,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1965-04-07,,| 76.6,"cabinet 478, shelf 10th from top",24.03,7.89,17.98,7.93,30.77,125,
328231,1581525,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Tate,North America,USA,Illinois,DeKalb Co,DeKalb,Male,No,1581525,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1960-01-28,,||||| 4x2mm ||| yellow | yellow,"cabinet 478, shelf 11th from top",25.82,8.21,19.06,7.67,30.71,121,
328232,1581526,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Tate,North America,USA,Illinois,Kane Co,Burlington,Male,No,1581526,42.0508,-88.5488,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1960-01-28,,|| moderate ||| 2.5x2.5mm,"cabinet 478, shelf 10th from top",27.11,7.82,19.8,8.7,29.29,133,
328233,1581527,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Tate,North America,USA,Illinois,Kane Co,Burlington,Male,No,1581527,42.0508,-88.5488,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1960-01-28,,|| little ||| 1x1mm,"cabinet 478, shelf 10th from top",26.92,8,19.03,7.61,28.19,124,
328234,1581528,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Tate,North America,USA,Illinois,Kane Co,Burlington,Female,No,1581528,42.0508,-88.5488,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1960-01-28,,|| moderate ||| 6x2.5mm,"cabinet 478, shelf 10th from top",27.36,7.37,19.87,7.68,28.91,121,
328235,1581529,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Etnyre,North America,USA,Illinois,DeKalb Co,"DeKalb Twp, Sec 22",Male,No,1581529,41.929,-88.7631,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-09-22,,|| little ||| 2x2mm,"cabinet 478, shelf 10th from top",25.84,6.03,19.9,6.68,29.56,130,
328237,1581531,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Weeks,North America,USA,Illinois,DeKalb Co,"Afton Twp, Sec 1",Female,No,1581531,41.8857,-88.7242,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-02-26,,| 86 | moderate ||| 9x4mm,"cabinet 478, shelf 10th from top",25.96,7.07,17.1,6.88,27.78,117,
328238,1581532,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Weeks,North America,USA,Illinois,DeKalb Co,"Afton Twp, Sec 36",,No,1581532,41.813,-88.7246,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-02-26,,| 91 | moderate,"cabinet 478, shelf 10th from top",27.7,7.08,20.58,7.78,29.23,122,
328239,1581533,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Weeks,North America,USA,Illinois,DeKalb Co,"Afton Twp, Sec 36",Female,No,1581533,41.813,-88.7246,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-02-26,,sfo || moderate ||| 4x3mm,"cabinet 478, shelf 10th from top",26.15,8.28,18.1,7.28,28.19,126,
328240,1581534,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Weeks,North America,USA,Illinois,DeKalb Co,"Afton Twp, Sec 1",Female,No,1581534,41.8857,-88.7242,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-02-26,,| 101.3 |||| 3x2mm,"cabinet 478, shelf 10th from top",27.47,7.78,18.93,7.66,28.42,119,
328241,1581535,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Weeks,North America,USA,Illinois,DeKalb Co,"Afton Twp, Sec 1",Male,No,1581535,41.8857,-88.7242,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-02-26,,| 108.5 |||| 1.5x1.5mm,"cabinet 478, shelf 10th from top",25.72,8.48,20.48,7.82,30.59,125,
328242,1581536,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Smalley,North America,USA,Illinois,DeKalb Co,"Shabbona, 5 mi E",Female,No,1581536,41.7687,-88.778,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-02-22,,"|| little ||| 9x4mm, granular","cabinet 478, shelf 14th from top",27.31,7.22,20.41,7.22,28.72,124,
328243,1581537,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,"Shabbona, 5 mi E",Male,No,1581537,41.7687,-88.778,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-02-21,,|| little ||| 7x4mm,"cabinet 478, shelf 10th from top",30.67,7.12,21.32,7.79,28.33,128,
328244,1581538,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,"Shabbona, 5 mi E",Female,No,1581538,41.7687,-88.778,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-02-21,,|| moderate ||| 3.5x2.5mm,"cabinet 478, shelf 10th from top",25.04,8.37,18.43,7.43,30.12,120,
328245,1581539,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,"Shabbona, 5 mi E",Female,No,1581539,41.7687,-88.778,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-02-21,,|| little ||| 7x5mm,"cabinet 478, shelf 10th from top",26.04,7.92,18.36,8.23,27.95,122,
328246,1581540,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,"Shabbona, 5 mi E",Female,No,1581540,41.7687,-88.778,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-02-21,,|| little ||| 4x2mm,"cabinet 478, shelf 10th from top",25.49,7.62,19.24,7.93,28.24,129,
328247,1581541,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,"Shabbona, 5 mi E",Male,No,1581541,41.7687,-88.778,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-02-21,,"|| moderate ||| 3x2, 2x1.5mm","cabinet 478, shelf 14th from top",29.28,7.73,21.82,7.45,28.1,126,
328248,1581542,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,"Shabbona, 5 mi E",Male,No,1581542,41.7687,-88.778,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-02-21,,|| little ||| 4x2mm,"cabinet 478, shelf 10th from top",27.03,8.31,19.19,7.13,28.43,127,
328249,1581543,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Male,No,1581543,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| heavy ||| 1.5x1mm,"cabinet 478, shelf 10th from top",35.5,8.35,29.25,7.51,30.21,124,
328250,1581544,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Male,No,1581544,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| heavy ||| 2x2mm,"cabinet 478, shelf 14th from top",29.48,7.94,21.41,7.72,28.75,127,
328251,1581545,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Male,No,1581545,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| moderate ||| 2.5x2mm,,27.73,8.21,21.91,7.54,28.02,121,
328252,1581546,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Male,No,1581546,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| moderate ||| 4x3mm,"cabinet 478, shelf 10th from top",29.84,8.12,21.52,8.75,29.05,118,
328253,1581547,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Male,No,1581547,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| little ||| 4x2mm,"cabinet 478, shelf 10th from top",30.16,7.78,23.24,9.93,28.52,121,
328254,1581548,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Male,No,1581548,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| heavy ||| 1.5x1.5mm,"cabinet 478, shelf 10th from top",27.81,7.93,21.79,7.95,29.02,125,
328255,1581549,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Female,No,1581549,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,"|| moderate ||| 6x2mm, granular","cabinet 478, shelf 14th from top",26.81,7.41,20.17,8.2,26.79,124,
328256,1581550,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Female,No,1581550,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,"|| little ||| 6x2mm, granular","cabinet 478, shelf 10th from top",31.97,7.74,23.04,8.55,29.15,125,
328257,1581551,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Female,No,1581551,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,"|| little ||| 6x2mm, granular","cabinet 478, shelf 14th from top",28.35,6.98,23.49,8.24,30.73,132,
328258,1581552,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Female,No,1581552,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| little ||| 2x2mm,"cabinet 478, shelf 10th from top",25.41,8.6,18.97,8.54,28.71,120,
328259,1581553,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",,No,1581553,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| little,"cabinet 478, shelf 14th from top",30.84,6.83,24.82,8.2,29.52,126,
328260,1581554,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,B. D. Southern,North America,USA,Illinois,Lake Co,"Glenview, Great Lakes Naval Base",Male,No,1581554,42.3071,-87.8524,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-03-01,,|| heavy ||| 1x1mm,"cabinet 478, shelf 10th from top",27.29,7.47,21.36,7.94,30.42,119,
328261,1581555,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Eggers,North America,USA,Illinois,Lee Co,Brooklyn Twp,Female,No,1581555,41.8903,-87.7155,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-03-05,,| 87.2 | moderate ||| 5x4mm,"cabinet 478, shelf 10th from top",26.98,7.33,18.81,7.02,29.75,127,
328262,1581556,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Eggers,North America,USA,Illinois,Lee Co,"Compton, 1 mi E",Female,No,1581556,41.6934,-89.0696,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-03-05,,"| 87.5 | little ||| 4x4mm, granular","cabinet 478, shelf 10th from top",27.35,7.02,19.4,8.31,28.55,127,
328263,1581557,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,G. Krueger,North America,USA,Illinois,Lee Co,Green River Conservation Area,Male,No,1581557,41.639,-89.5166,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1977-08-05,,|| little ||| .5x.5mm,,,,,,,,
328264,1581558,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Hoger,North America,USA,Illinois,DuPage Co,"Chicago, West Chicago",Male,No,1581558,41.8848,-88.204,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-04-19,,,,,,,,,,
328265,1581559,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Hoger,North America,USA,Illinois,DuPage Co,Glen Ellyn,Male,No,1581559,41.8775,-88.067,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,"|| none ||| 12x7mm, 9x6mm","cabinet 478, shelf 10th from top",28.6,7.24,18.02,7.51,27.8,123,
328266,1581560,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Hoger,North America,USA,Illinois,DuPage Co,Glen Ellyn,Male,No,1581560,41.8775,-88.067,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,2005-05-24,,|| little ||| 6x4mm,"cabinet 478, shelf 10th from top",26.06,7.03,20.33,7.64,28.78,131,
328267,1581561,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,Willowbrook Wildlife Haven,North America,USA,Illinois,DuPage Co,Glen Ellyn,Male,No,1581561,41.8775,-88.067,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,2005-05-23,,|| little ||| 1x.5mm,,,7.47,broken beak ,7.63,28.36,130,
328268,1581562,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,Willowbrook Wildlife Haven,North America,USA,Illinois,DuPage Co,Glen Ellyn,Female,No,1581562,41.8775,-88.067,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,2005-05-13,,|| none ||| shelled egg; follicles to 6mm,"cabinet 478, shelf 14th from top",24.37,7.89,18.72,8.08,27.62,114,
328271,1581565,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,G. T. James,North America,USA,Illinois,Winnebago Co,Rockford,Male,No,1581565,42.2711,-89.094,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1963-05-26,,||||| nestling | beetles,,,,,,,,
328272,1581566,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. B. Miller,North America,USA,Illinois,Whiteside Co,"Erie, 2 mi W",Male,No,1581566,41.6564,-90.1174,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-04-26,,| 146.5 |||| 4x2.5mm,"cabinet 478, shelf 10th from top",27,8.23,16.94,8.34,29.5,117,
328273,1581567,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,M. A. Hayes,North America,USA,Illinois,Henderson Co,"Seaton, 2.5 mi W",Male,No,1581567,41.1023,-90.8467,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1973-03-19,,|| little ||| 10x6mm,"cabinet 478, shelf 10th from top",26,7.88,18.2,8.82,29.33,122,
328274,1581568,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,S. Elston,North America,USA,Illinois,La Salle Co,Utica,Female,No,1581568,41.3467,-88.9892,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1978-04-28,,|| moderate ||| largest ovum 7x5mm,"cabinet 478, shelf 10th from top",26.73,7.75,19.58,8.38,29.31,122,
328275,1581569,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,L. Brewick,North America,USA,Illinois,Kane Co,Aurora,Male,No,1581569,41.7606,-88.3201,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1975-04-12,,|| moderate ||| 15x8mm,,28.24,8.03,20.47,8.16,29.59,123,
328276,1581570,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,L. Brewick,North America,USA,Illinois,Kane Co,Aurora,Male,No,1581570,41.7606,-88.3201,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1975-04-06,,"|| moderate ||| 10x6, 9x5mm","cabinet 478, shelf 14th from top",27.1,19.18,18.68,8.79,30.42,126,
328277,1581571,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,M. Loy,North America,USA,Illinois,Kankakee Co,Momence,Female,No,1581571,41.1623,-87.6643,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-03-16,,,"cabinet 478, shelf 14th from top",25.12,16.59,17.68,8.1,28.53,121,
328279,1581573,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Michigan,Presque Isle Co,Rogers City,Female,No,1581573,45.4214,-83.8183,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1973-05-19,,|| moderate ||| soft-shelled egg in oviduct,"cabinet 478, shelf 15th from top",25.46,8.27,15.95,7.68,28.16,124,
328581,1581875,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Arrigo,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1581875,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1984-04-26,,"||||| 10x8mm, yolking","cabinet 478, shelf 11th from top",25.46,7.45,16.36,7.63,29.81,122,
