,,Museum,,Species,Phylum,Class,Order,Family,Collector,Continent,Country,State,County,Locality,Sex,,,Latitude,Longitude,,,Date,Year,,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
255121,1508458,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,Elgin,Female,No,1508458,42.0372,-88.2812,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1945-05-26,,||||| nestling,,,,,,,,
255122,1508459,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. A. Edgren,North America,USA,Illinois,Cook Co,Evanston,,No,1508459,42.0447,-87.6975,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1942-05-20,,||||| nestling,,,,,,,,
255123,1508460,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,O. Bossuyt,North America,USA,Illinois,Cook Co,"Evanston, Northwestern University",,No,1508460,42.0562,-87.6762,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1941-05-04,,,,,,,,,,
255124,1508461,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,C. Udkoff,North America,USA,Illinois,Cook Co,Evanston,,No,1508461,42.0447,-87.6975,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1941-05-26,,||||| nestling,,,,,,,,
255125,1508462,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. Olson,North America,USA,Illinois,Cook Co,Evanston,Male,No,1508462,42.0447,-87.6975,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1944-05-21,,"||||| left 14x10.5, right 14.5x9mm","cabinet 478, shelf 11th from top",24.91,8.76,17.03,8.31,30,122,
255126,1508463,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,O. Park,North America,USA,Illinois,Cook Co,Evanston,Male,No,1508463,42.0447,-87.6975,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1944-01-07,,,"cabinet 478, shelf 11th from top",24.84,8.2,17.79,8.44,29.31,127,
255127,1508464,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. B. Calhoun,North America,USA,Illinois,Cook Co,"Des Plaines, St Mary's Woods",Male,No,1508464,42.0386,-87.8877,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1941-05-15,,,"cabinet 478, shelf 11th from top",25.1,8.91,16.9,8.21,31.31,121,
255128,1508465,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Cook Co,Chicago,Female,No,1508465,41.8327,-87.6654,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1940-10-09,,,"cabinet 478, shelf 12th from top",21.98,7.86,16.03,7.87,24.45,120,
255129,1508466,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Cook Co,Chicago,Male,No,1508466,41.8327,-87.6654,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1945-06-05,,,,,,,,,,
255130,1508467,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,"Dundee, 3 mi N",Female,No,1508467,42.1686,-88.3046,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1944-05-21,,,"cabinet 478, shelf 12th from top",24.85,7.97,17.76,6.55,29.83,124,
255131,1508468,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,"Dundee, 3 mi N",Male,No,1508468,42.1686,-88.3046,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1944-05-21,,,"cabinet 478, shelf 11th from top",26.54,7.83,20.04,7.93,29.85,124,
255132,1508469,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,Kane Co,"Dundee, 3 mi N",Male,No,1508469,42.1686,-88.3046,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1944-05-21,,,"cabinet 478, shelf 11th from top",24.95,7.15,16.57,6.79,28.9,115,
255133,1508470,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,DuPage Co,Wayne,Male,No,1508470,41.9518,-88.2827,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1946-08-18,,,"cabinet 478, shelf 11th from top",26.88,7.33,18.76,6.74,28.73,124,
255134,1508471,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,T. Wright,North America,USA,Illinois,DuPage Co,Wayne,Male,No,1508471,41.9518,-88.2827,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1946-08-18,,,,,,,,,,
265374,1518708,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Weaver,North America,USA,Illinois,Winnebago Co,Rockford,Male,No,1518708,42.2711,-89.094,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1962-04-02,,||||||| dark brown | yellow | yellow,"cabinet 478, shelf 11th from top",24.56,7.6,17.03,7.08,29.79,119,
265375,1518709,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,J. Weaver,North America,USA,Illinois,Winnebago Co,Rockford,Male,No,1518709,42.2711,-89.094,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,1962-04-02,,||||||| dark brown | yellow | yellow,"cabinet 478, shelf 11th from top",29.81,7.89,21.22,7.9,29.2,123,
310512,1563733,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1563733,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1981-05-08,,"sfo | 79.8 |||| 10x5mm, largest ovum 3x3mm","cabinet 478, shelf 11th from top",22.76,6.95,15.53,8.37,28.07,122,
310915,1564138,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1564138,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1981-04-24,,"sfo | 95.2 |||| developed egg, 30x16mm ||| bright yellow | bright yellow","cabinet 478, shelf 11th from top",24.15,7.2,17.07,7.74,27.88,124,
313603,1566830,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1566830,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1981-05-21,,"100% | 78.7 | light ||| left 18x11, right 16x11mm","cabinet 478, shelf 11th from top",25.07,6.95,16.59,7.32,28.74,124,
313604,1566831,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. M. Timm,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1566831,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1982-04-11,,"80% | 84.1 | light ||| left 15x10, right 14x10mm","cabinet 478, shelf 11th from top",24.47,7.54,18.38,7.56,28.22,120,
313605,1566832,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",,No,1566832,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1982-08-18,,0% | 69.8,,,,,,,,
