Catalog_number,Identification,Country,State,County,Locality,Collector,Date,Year,Decade,Collector_number,Sex,Age,Prep,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
SKIN 665628,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,22-Apr-1829,1829,1820,,Female,-,,upper middle tray 360 B 3,24.94,6.74,18.84,7.39,28.84,124.5,
SKIN 665629,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,29-Apr-1850,1850,1850,,Female,-,,upper middle tray 360 B 3,23.95,7.01,16.45,7.36,29.26,127.5,
SKIN 665630,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,12-Jul-1816,1816,1810,,Female,-,,upper middle tray 360 B 3,24.59,7.43,17.24,6.72,29.73,125,
SKIN 665631,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,13-Jun-1829,1829,1820,,Female,-,,upper middle tray 360 B 3,24.56,7.52,17.23,7.67,28.51,129,
SKIN 665632,Sturnus vulgaris vulgaris,Germany,,,"Bollwerk, Nr. Renthendorf",C. L. Brehm,15-Mar-1847,1847,,,Female,-,,,,,,,,,
SKIN 665633,Sturnus vulgaris vulgaris,Germany,,,Rodathal,C. L. Brehm,28-Mar-1833,1833,,,Male,-,,,,,,,,,
SKIN 665634,Sturnus vulgaris vulgaris,Germany,,,Rodathal,C. L. Brehm,20-Apr-1845,1845,1840,,Male,-,,upper middle tray 360 B 3,23.76,7.53,17.65,7.09,29.72,130,
SKIN 665635,Sturnus vulgaris vulgaris,Germany,,,Rodathal,C. L. Brehm,20-Apr-1845,1845,1840,,Female,-,,upper middle tray 360 B 3,23.3,6.62,16.62,7.05,28.2,124,
SKIN 665636,Sturnus vulgaris vulgaris,Germany,,,Rodathal,C. L. Brehm,28-Mar-1833,1833,1830,,Female,-,,upper middle tray 360 B 3,24.85,6.41,17.55,7.4,29.77,122,
SKIN 665637,Sturnus vulgaris vulgaris,Germany,,,Sandersleben,C. L. Brehm,3-Jul-1847,1847,,,Male,-,,,,,,,,,
SKIN 665638,Sturnus vulgaris vulgaris,Germany,,,Sandersleben,C. L. Brehm,17-Jul-1846,1846,,,Male,-,,,,,,,,,
SKIN 665639,Sturnus vulgaris vulgaris,Germany,,,Klagenfurth,von Hueber,20-Apr-1837,1837,,,Male,-,,,,,,,,,
SKIN 665640,Sturnus vulgaris vulgaris,Germany,,,Klagenfurth,von Hueber,20-Apr-1837,1837,,,Female,-,,,,,,,,,
SKIN 665641,Sturnus vulgaris vulgaris,Germany,,,"Klingenbad, Burgan in Bayern",L. Landbeck,1-Aug-1846,1846,1840,,M,-,,upper middle tray 360 B 3,23.02,6.99,17.08,6.41,30.64,128,
SKIN 665642,Sturnus vulgaris vulgaris,Germany,,,Erzgebirge,,3-Sep-1845,1845,,,Female,-,,,,,,,,,
SKIN 665643,Sturnus vulgaris vulgaris,Germany,,,Sachsen,,27-Mar-1892,1892,1890,,unknown ,-,,upper middle tray 360 B 3,measurements not taken ,,,,,,"Beak broken, sex missing measurements not taken "
SKIN 665644,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,7-Apr-1896,1896,,,Male,-,,,,,,,,,
SKIN 665645,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,30-Sep-1895,1895,1890,,Male,-,,upper middle tray 360 B 3,26.22,7.24,19.75,7.6,31.97,128,
SKIN 665646,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,8-Oct-1895,1895,1890,,Male,-,,upper middle tray 360 B 3,23.53,6.92,19.08,7.07,29.3,130,
SKIN 665647,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,6-Oct-1895,1895,1890,,Male,-,,upper middle tray 360 B 3,24.72,6.34,19.04,7.17,30.68,132,
SKIN 665648,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,11-Sep-1895,1895,1890,,Male,-,,upper middle tray 360 B 3,24.58,7.21,18.11,7.44,30.31,130.5,
SKIN 665649,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,30-Mar-1896,1896,1890,,Male,-,,upper middle tray 360 B 3,25,7.24,19.12,7.93,31.24,130.5,
SKIN 665650,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,27-Mar-1897,1897,1890,,Male,-,,upper middle tray 360 B 3,24.29,8.08,19.23,7.72,30.35,126,
SKIN 665651,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,29-Apr-1895,1895,,,Male,-,,,,,,,,,
SKIN 665652,Sturnus vulgaris vulgaris,Germany,E. Prussia,,Shaisgirren,A. Sondermann,11-Sep-1895,1895,1890,,Female,-,,upper middle tray 360 B 3,24.38,7.27,19.13,7.48,30.71,132,
SKIN 787783,Sturnus vulgaris vulgaris,Germany,,,"Kottenforst, nr. Bonn",Niethammer,6-Apr-61,1961,,,Male,-,,,,,,,,,
SKIN 665653,Sturnus vulgaris vulgaris,Germany?,,,,,no date/ did not collect data,,,,,-,,,,,,,,,
SKIN 665657,Sturnus vulgaris vulgaris,Latvia,,,Lisden,H. B. London,11-Sep-09,1909,,,Male,,,upper middle tray 360 B 3,23.43,7.09,16.83,6.95,28.76,126,
SKIN 665658,Sturnus vulgaris vulgaris,Latvia,,,Lisden,H. B. London,11-Sep-09,1909,,,Male,,,,,,,,,,
SKIN 665659,Sturnus vulgaris vulgaris,Latvia,,,Lisden,H. B. London,14-Oct-09,1909,,,Male,,,upper middle tray 360 B 3,24.01,7.41,16.51,7.42,28.69,127,
SKIN 665660,Sturnus vulgaris vulgaris,Latvia,,,Lisden,H. B. London,1-Sep-09,1909,,,Male,,,,,,,,,,
SKIN 665661,Sturnus vulgaris vulgaris,Latvia,,,Lisden,H. B. London,2-Apr-02,1902,,,Male,,,,,,,,,,
SKIN 665662,Sturnus vulgaris vulgaris,Latvia,,,Lisden,H. B. London,2-Apr-02,1902,,,Female,,,,,,,,,,
SKIN 665663,Sturnus vulgaris vulgaris,Latvia,,,Samhof,H. B. London,2-Apr-1897,1897,,,Female,,,,,,,,,,
SKIN 665664,Sturnus vulgaris vulgaris,Latvia,,,Samhof,H. B. London,2-Apr-1897,1897,,,Female,,,,,,,,,,
SKIN 665665,Sturnus vulgaris vulgaris,Latvia,,,Samhof,H. B. London,6-Aug-1897,1897,,,Female,,,,,,,,,,
SKIN 665656,Sturnus vulgaris vulgaris,Sweden,,,"Nerike, Hasselfars",A. H. Christiernsson,8-Apr-1876,1876,,,M,,-,upper middle tray 360 B 3,27.17,7.32,19.58,8.88,29.43,131.5,
SKIN 786301,Sturnus vulgaris,Romina,,,Pinganati,D. Munteanu,23-Apr-65,1965,,,Female,,-,upper middle tray 360 B 3,25.06,6.26,18.77,6.53,29.57,129,
