Catalog_number,Identification,Country,State,County,Locality,Collector,Date,Year,Decade,Collector_number,Sex,Age,Prep,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
665550,Sturnus vulgaris,England ,"Thournhaugh, Wansford, Northants",,,H. Slater,27 Dec 1892,1892,,,F,,SKIN,"upper middle tray, no label (Uk specimens)",25.22,8.33,17.86,7.43,30.73,119,
665535,Sturnus vulgaris,England ,Hertfordshire,Tring,,J. Street,18-Nov-01,1901,,,F?,,SKIN,"upper middle tray, no label (Uk specimens)",24.51,7.96,17.24,7.14,35.37,125,
665554,Sturnus vulgaris,England ,,York,,Bernard Moiser,Nov-01,1901,,,F?,,SKIN,"upper middle tray, no label (Uk specimens)",24.97,7.56,16.19,7.62,30.1,130,
665555,Sturnus vulgaris,England ,Stirlingshire,Denovan,,G. E. Paterson,28 Jan 1873,1873,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",24.48,8.6,17.69,7.64,30.76,125,
665557,Sturnus vulgaris,England ,Stirlingshire,Denovan,,G. E. Paterson,14 Oct 1870,1870,,,F?,,SKIN,"upper middle tray, no label (Uk specimens)",23.52,8.62,15.74,7.9,32.68,124,
665558,Sturnus vulgaris,England ,Stirlingshire,Milliken,,A. Kirkwood,Oct 1886,1886,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",23.4,7.75,15.89,7.71,32.98,130,
648035,Sturnus vulgaris,Scotland,"Lochmoddy, N. Vist.",,,,26-Mar-38,1938,,,M,,SKIN,"upper middle tray, no label (Uk specimens)",25.48,7.98,18.67,8.35,32.39,125,
JZ=12/20,,,,,,,,,,,,,,,,,,,,,
665516,Sturnus vulgaris,England ,"Tring, Herts",,,,13-Mar-25,1925,,,M,,SKIN,upper tray 360 B 1 - Great Britain,24.32,7.6,17.46,8.22,30.39,126,
454284,Sturnus vulgaris,England ,Hertfordshire,"Reservoirs, Tring",,,30-Jan-12,1912,,,M,,SKIN,upper tray 360 B 1 - Great Britain,24.31,7.56,17.15,7.67,28.92,125,unusual white plumage on tail (see iPhone pic)
378684,Sturnus vulgaris,England ,Hertfordshire,Welwyn,,,27-Nov-12,1912,,,M,,SKIN,upper tray 360 B 1 - Great Britain,25.58,8.2,18.73,7.84,28.84,129,
25081,Sturnus vulgaris,England ,Devon,Kingsbridge,,R. P. Nicholls,26 Dec 1877,1877,,,M,,SKIN,upper tray 360 B 1 - Great Britain,24.51,7.49,16.86,7.89,27.41,126,
378686,Sturnus vulgaris,England ,Hertfordshire,Welwyn,,,27-Nov-12,1912,,,M,,SKIN,upper tray 360 B 1 - Great Britain,25.56,7.67,18.21,9,30.07,124,beak cracked and propped open
665561,Sturnus vulgaris,England ,Colesborne,,,H. J. Elwes,Apr 1866,1866,,,M?,,SKIN,upper tray 360 B 1 - Great Britain,23.83,7.52,16.8,7.54,29.75,129,
665559,Sturnus vulgaris,Scotland,Stirlingshire,Milliken,,A. Kirkwood,Oct 1886,1886,,,M,,SKIN,upper tray 360 B 1 - Great Britain,23.49,7.8,16.12,7.59,30.05,131,
454282,Sturnus vulgaris,England ,Hertfordshire,"Marsworth, Nr Tring",,,26-Nov-08,1908,,,F,,SKIN,upper tray 360 B 1 - Great Britain,24.96,7.71,17.2,7.62,28.6,120,white plumage on tail! (see pic)
665517,Sturnus vulgaris,England ,"Tring, Herts",,,,6-Feb-17,1917,,,M,,SKIN,upper tray 360 B 1 - Great Britain,24.66,7.64,16.97,8.05,28.45,125,
378689,Sturnus vulgaris,England ,Middlesex,Park Royal,,,2-Dec-13,1913,,,F,,SKIN,upper tray 360 B 1 - Great Britain,23.19,8.46,17.28,7.75,27.28,115,"bird is VERY cute, juvenile?"
378688,Sturnus vulgaris,England ,Norfolk,,,,6-Mar-08,1908,,,F,,SKIN,upper tray 360 B 1 - Great Britain,27.86,7.32,19.97,7.81,30.33,125,
665560,Sturnus vulgaris,England ,"Dougalston, Milngarie",,,R. D. Paterson,30 Dec 1872,1872,,,?,,SKIN,upper tray 360 B 1 - Great Britain,24.25,7.63,17.07,7.08,29.71,120,
665543,Sturnus vulgaris,England ,"Sprowston, Norwich",,,R. Gurney,17 Jan 1898,1898,,,M,,SKIN,upper tray 360 B 1 - Great Britain,25.87,8.48,18.1,8.11,31.86,130,
665564,Sturnus vulgaris,England ,Marsworth,,,,2-Oct-06,1906,,,?,,SKIN,upper tray 360 B 1 - Great Britain,24.99,8.36,17.97,8.1,28.51,121,
54501,Sturnus vulgaris,England ,Kingsbridge,,,R. P. Nicholls,26 Dec 1877,1877,,,,,SKIN,upper tray 360 B 1 - Great Britain,25.29,7.59,17.75,6.93,28.64,128,
665541,Sturnus vulgaris,England ,"Ingham, Norwich",,,"E. Gurney
R. Gurney",11-Mar-15,1915,,,M,,SKIN,upper tray 360 B 1 - Great Britain,26.54,7.67,18.17,8.69,28.87,129,
665552,Sturnus vulgaris,England ,Riding Mill,,,H. Slater,1878,1878,,,M,,SKIN,upper tray 360 B 1 - Great Britain,24.34,7.3,17.08,7.54,26.9,126,
665553,Sturnus vulgaris,England ,Riding Mill,,,H. Slater,1878,1878,,,F,,SKIN,upper tray 360 B 1 - Great Britain,25.99,7.57,17.68,8.19,31.04,130,
25082,Sturnus vulgaris,England ,Devon,Kingsbridge,,R. P. Nicholls,20 Dec 1876,1876,,,F,,SKIN,upper tray 360 B 1 - Great Britain,23.92,8.06,16.63,6.98,27.82,122,
JZ 12/27/18,,,,,,,,,,,,,,,,,,,,,
665514,Sturnus vulgaris,England ,"Tring, Herts",,,,1-Jan-12,1912,,,M,,SKIN,upper tray 360 B 2 - Great Britain,26.39,8.26,18.44,8.01,31.9,127,
665468,Sturnus vulgaris,England ,Sussex,Brighton,,R. B. Sharpe,04 Oct 1888,1888,,,M,,SKIN,upper tray 360 B 2 - Great Britain,24.72,8.07,16.02,7.47,28.3,125,
665529,Sturnus vulgaris,England ,Hertfordshire,Tring,,N. C. Rothschild,02 Mar 1893,1893,,,F,,SKIN,upper tray 360 B 2 - Great Britain,24.7,7.52,17.46,8.38,29.18,129,
665515,Sturnus vulgaris,England ,"Tring, Herts",,,N. C. Rothschild,26 Dec 1895,1895,,,M,,SKIN,upper tray 360 B 2 - Great Britain,24.68,8.24,18.24,7.6,29.2,130,
665511,Sturnus vulgaris,England ,"Tring, Herts",,,N. C. Rothschild,03 Dec 1892,1892,,,M,,SKIN,upper tray 360 B 2 - Great Britain,25.98,7.32,17.99,8.03,30.69,128,
665505,Sturnus vulgaris,England ,"Tring, Herts",,,,26-Oct-14,1914,,,M,,SKIN,upper tray 360 B 2 - Great Britain,23.54,7.4,16.5,7.62,28.76,122,
648034,Sturnus vulgaris,Scotland,"Spomish, N. Vist.",,,,25-Mar-38,1938,,,M,,SKIN,upper tray 360 B 2 - Great Britain,24.53,7.94,17.33,8.18,28.06,124,
665508,Sturnus vulgaris,England ,"Tring, Herts",,,,9-Nov-18,1918,,,M,,SKIN,upper tray 360 B 2 - Great Britain,23.65,8.01,17.38,7.19,29.99,125,
665506,Sturnus vulgaris,England ,"Tring, Herts",,,,18-Sep-14,1914,,,M,,SKIN,upper tray 360 B 2 - Great Britain,24.01,7.89,18.51,7.03,29.27,127,
665525,Sturnus vulgaris,England ,Hertfordshire,Tring,,N. C. Rothschild,4-Oct-00,1900,,,M?,,SKIN,upper tray 360 B 2 - Great Britain,24.79,8.15,17.7,8.01,29.05,128,
665518,Sturnus vulgaris,England ,"Tring, Herts",,,N. C. Rothschild,17 Apr 1893,1893,,,M,,SKIN,upper tray 360 B 2 - Great Britain,24.32,8.54,16.8,7.95,29.54,126,
665528,Sturnus vulgaris,England ,Hertfordshire,Tring,,N. C. Rothschild,13 Apr 1893,1893,,,M,,SKIN,upper tray 360 B 2 - Great Britain,23.71,7.93,17.33,7.32,29.72,129,
665467,Sturnus vulgaris,England ,Sussex,"Rottingdean, Brighton",,R. B. Sharpe,02 Nov 1888,1888,,,M,,SKIN,upper tray 360 B 2 - Great Britain,25.25,8.62,16.4,9.01,28.9,125,
AUSTRALIA,,,,,,,,,,,,,,,,,,,,,
799798,Sturnus vulgaris,Australia,"Exeter, Tasmania",,,R. H. Green,3-Oct-66,1966,,,M,,SKIN,lower tray 360 A 33 - Australian Region,23.65,7.78,16.77,7.92,30.87,125,
799799,Sturnus vulgaris,Australia,"Antill Ponds, Tasmania",,,R. H. Green,30-May-59,1959,,,M,,SKIN,lower tray 360 A 33 - Australian Region,24.97,8.07,17.78,7.81,28.89,120,tag needs refastening!
665668,Sturnus vulgaris,Australia,Norfolk Island,,Mt. Pitt,Roy Bell,30-Jul-12,1912,,,M,,SKIN,lower tray 360 A 33 - Australian Region,27.7,7.38,20,7.35,29.1,120,
665669,Sturnus vulgaris,Australia,Norfolk Island,,Middlegate Rd.,Roy Bell,6-Aug-12,1912,,,F,,SKIN,lower tray 360 A 33 - Australian Region,23.13,6.88,15.95,7.47,28.88,121,
FAROE ISLANDS,,,,,,,,,,,,,,,,,,,,,
665692,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,,22-Sep-00,1900,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,25.56,9.45,19.75,8.69,27.03,129,
665702,Sturnus vulgaris faroensis,Faroe Islands,Thorshaun,,,Schluter,NO DATE,,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,24.39,9,18.23,8.08,29.99,133,
665691,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,,3-Oct-00,1900,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,27.27,9.45,20.31,9.09,30.22,131,
665703,Sturnus vulgaris faroensis,Faroe Islands,Thorshaun,,,Schluter,09 Oct 1891,1891,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,25.29,8.29,18.8,7.96,30.75,133,
665694,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,Schluter,06 Dec 1898,1898,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,28.04,8.48,20.4,8.61,28.48,129,
665696,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,,05 Dec 1898,1898,,,F,,SKIN,lower tray 360 A 27 - S.v.faroensis,28.02,7.79,20.05,8.74,29.21,132,
665693,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,,3-Oct-00,1900,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,26.12,8.41,20.54,9.15,30.2,131,
665688,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,,06 Feb 1898,1898,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,27.2,8.55,19.68,,30.91,132,beak is open - can't take depth
665689,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,,3-Oct-00,1900,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,25.85,8.32,19.35,8.8,31.89,127,
665695,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,,05 Dec 1898,1898,,,F,,SKIN,lower tray 360 A 27 - S.v.faroensis,26.95,8.63,19.19,8.02,30.81,135,
665690,Sturnus vulgaris faroensis,Faroe Islands,Nolso,,,Schluter,07 Dec 1898,1898,,,M,,SKIN,lower tray 360 A 27 - S.v.faroensis,26.66,8.7,20.13,,30.64,131,beak is open - can't take depth
GERMANY and other locations ,,,,,,,,,,,,,,,,,,,,,
SKIN 378692,Sturnus vulgaris,Germany,Hesse,,(Sheinhessen),,15-Dec-02,1902,1900,,Male,-14508,,upper middle tray 360 B 3,24.61,6.63,18.28,6.6,28.35,126,
SKIN 378693,Sturnus vulgaris,Germany,Hesse,,(Rosenthal),,19-Apr-00,1900,1900,,Male,-14505,,,,,,,,,
SKIN 378694,Sturnus vulgaris,Germany,Hesse,,(Marburg),,24-May-00,1900,1900,,Male,-14504,,upper middle tray 360 B 3,24.68,7.68,17.35,8.03,30.07,120,
SKIN 378695,Sturnus vulgaris,Germany,Hesse,,(Marburg),,26-May-00,1900,1900,,Female,-14506,,upper middle tray 360 B 3,22.75,7.63,16.56,6.85,26.26,121.5,
SKIN 454299,Sturnus vulgaris vulgaris,Germany,,,"Hainau, Silesia",,,,,,Female,-,,,,,,,,,
SKIN 665567,Sturnus vulgaris vulgaris,Germany,Hessen,,Marburg,,24-Jun-04,1904,,,Male,-,,upper middle tray 360 B 3,24.11,7.9,17.35,6.86,29.64,125.5,
SKIN 665568,Sturnus vulgaris vulgaris,Germany,Hessen,,Marburg,,11-Feb-00,,,,Male,-,,,,,,,,,
SKIN 665569,Sturnus vulgaris vulgaris,Germany,Hessen,,Marburg,,12-Feb-00,,,,Male,-,,,,,,,,,
SKIN 665570,Sturnus vulgaris vulgaris,Germany,Hessen,,Marburg,,11-Feb-00,,,,Female,-,,,,,,,,,
SKIN 665571,Sturnus vulgaris vulgaris,Germany,Hessen,,Marburg,,11-Dec-1899,,,,Male,-,,,,,,,,,
SKIN 665572,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,25-Mar-00,,,,Male,-,,,,,,,,,
SKIN 665573,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,29-Mar-00,,,,Male,-,,,,,,,,,
SKIN 665574,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,11-Feb-00,,,,Male,-,,,,,,,,,
SKIN 665575,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,26-Feb-00,,,,Male,-,,,,,,,,,
SKIN 665576,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,11-May-1899,1899,1890,,Male,-,,upper middle tray 360 B 3,25.1,6.52,16.96,7.79,30.11,128,
SKIN 665577,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,1899,1899,1890,,Male,-,,upper middle tray 360 B 3,24.95,6.75,16.85,8.18,28.49,124,
SKIN 665578,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,5-Feb-1899,,,,Female,-,,,,,,,,,
SKIN 665579,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schonstadt, Marburg",,23-Mar-1899,,,,Female,-,,,,,,,,,
SKIN 665580,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schwarzenborn, Marburg",,5-Apr-1899,,,,Male,-,,,,,,,,,
SKIN 665581,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schwarzenborn, Marburg",,9-Feb-1899,,,,Male,-,,,,,,,,,
SKIN 665582,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schwarzenborn, Marburg",,14-Dec-1899,,,,Female,-,,,,,,,,,
SKIN 665583,Sturnus vulgaris vulgaris,Germany,Hessen,,"Schwarzenborn, Marburg",,9-Jan-1899,,,,Female,-,,,,,,,,,
SKIN 665584,Sturnus vulgaris vulgaris,Germany,,,"Schwarzenborn, Marburg",,22-Apr-1899,,,,Female,-,,,,,,,,,
SKIN 665585,Sturnus vulgaris vulgaris,Germany,,,Marburg,,4-Oct-05,,,,Male,-,,,,,,,,,
SKIN 665586,Sturnus vulgaris vulgaris,Germany,,,Rosenthal,,29-Dec-1899,,,,Male,-,,,,,,,,,
SKIN 665587,Sturnus vulgaris vulgaris,Germany,,,Rosenthal,,28-Dec-1899,,,,Female,-,,,,,,,,,
SKIN 665588,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,14-Mar-1847,1847,,,Male,-,,,,,,,,,
SKIN 665589,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,24-Feb-1848,1848,1840,,Male,-,,upper middle tray 360 B 3,25.82,6.94,18.19,7.86,28.09,126,
SKIN 665590,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,9-Apr-1831,1831,,,Male,-,,upper middle tray 360 B 3,23.84,6.99,17.05,8.08,29.43,124.5,
SKIN 665591,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,28-Feb-1838,1838,,,Male,-,,,,,,,,,
SKIN 665592,Sturnus vulgaris vulgaris,Germany,,,Renthendorf,C. L. Brehm,16-Mar-1848,1848,1840,,Male,-,,upper middle tray 360 B 3,25.71,6.85,18.96,6.32,29.74,131,
