,,Museum,,Species,Phylum,Class,Order,Family,Collector,Continent,Country,State,Locality,Sex,,,,,Date,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
54433,772132,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772132,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, October 6, 2018",,,,,,,,
54435,772134,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772134,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, October 16, 2019",,,,,,,,
54436,772135,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Female,No,772135,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, August 26, 2016",,,,,,,,
54437,772136,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Female,No,772136,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, September 30, 2016",,,,,,,,
54438,772137,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Female,No,772137,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, September 30, 2016",,,,,,,,
54439,772138,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772138,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, April 20, 2013",,,,,,,,
54441,772140,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Female,No,772140,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, August 21, 2019",,,,,,,,
54442,772141,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772141,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, July 3, 2018",,,,,,,,
54443,772142,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772142,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, September 9, 2016",,,,,,,,
54444,772143,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,Bavaria,Augsburg,Male,No,772143,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, October 11, 2013",,,,,,,,
56218,773923,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. Fischer,Europe,Germany,,Frankfurt am Main,,No,773923,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, September 25, 2012",,,,,,,,
243252,1496593,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Nichlaul,Male,No,1496593,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, February 10, 1947",,,,,,,,
243253,1496594,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Chand,Asia,India,Uttar Pradesh,Nichlaul,Male,No,1496594,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, February 4, 1947",,,,,,,,
243254,1496595,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Kalnahi,Female,No,1496595,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Sunday, February 16, 1947",,,,,,,,
243271,1496612,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Kalnahi,Male,No,1496612,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Sunday, February 16, 1947",,,,,,,,
243272,1496613,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Kalnahi,Female,No,1496613,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, February 15, 1947",,,,,,,,
243273,1496614,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Kalnahi,Male,No,1496614,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, February 17, 1947",,,,,,,,
243274,1496615,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Kalnahi,Female,No,1496615,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, February 15, 1947",,,,,,,,
243275,1496616,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Kalnahi,Male,No,1496616,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, February 19, 1947",,,,,,,,
243276,1496617,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Chand,Asia,India,Uttar Pradesh,Nichlaul,Male,No,1496617,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Thursday, February 6, 1947",,,,,,,,
243277,1496618,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Nichlaul,Male,No,1496618,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, February 12, 1947",,,,,,,,
243278,1496619,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Nichlaul,Female,No,1496619,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Sunday, February 9, 1947",,,,,,,,
243279,1496620,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Kashmir,Srinagar,Male,No,1496620,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, July 27, 1936",,,,,,,,
243280,1496621,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Nichlaul,Male,No,1496621,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, February 11, 1947",,,,,,,,
243281,1496622,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,India,Uttar Pradesh,Nichlaul,Male,No,1496622,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, February 10, 1947",,,,,,,,
310071,1563292,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),Asia,India,Uttar Pradesh,Lucknow,Female,No,1563292,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,30 Dec 1888,,,,,,,,
310072,1563293,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),Asia,India,Uttar Pradesh,Lucknow,Female,No,1563293,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,30 Jan 1889,,,,,,,,
310073,1563294,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),Asia,India,Uttar Pradesh,Lucknow,Male,No,1563294,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,22 Dec 1888,,,,,,,,
310074,1563295,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),Asia,India,Uttar Pradesh,Lucknow,Female,No,1563295,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,19 Feb 1889,,,,,,,,
310075,1563296,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),Asia,India,Uttar Pradesh,Lucknow,Male,No,1563296,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,15 Feb 1889,,,,,,,,
310076,1563297,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),Asia,India,Uttar Pradesh,Lucknow,Female,No,1563297,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,03 Jan 1889,,,,,,,,
60546,778253,FMNH,Birds,Sturnus vulgaris humii,Chordata,Aves,Passeriformes,Sturnidae,T Roosevelt Jr & K Roosevelt,Asia,India,Kashmir,Gund,Male,No,778253,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, May 21, 2025",,,||||| N,,,,,
243233,1496574,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Female,No,1496574,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, March 7, 1941",,,,,,,,
243234,1496575,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Male,No,1496575,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, March 15, 1941",,,,,,,,
243235,1496576,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Female,No,1496576,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, March 15, 1941",,,,,,,,
243236,1496577,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Female,No,1496577,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, November 20, 1942",,,,,,,,
243237,1496578,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Female,No,1496578,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, November 20, 1942",,,,,,,,
243238,1496579,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Male,No,1496579,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, November 20, 1942",,,,,,,,
243239,1496580,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Male,No,1496580,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Thursday, March 6, 1941",,,,,,,,
243240,1496581,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Female,No,1496581,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, May 24, 1940",,,,,,,,
243241,1496582,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Kermanshah,Kermanshah,Female,No,1496582,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, January 14, 1941",,,,,,,,
243242,1496583,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Khatunabad,Male,No,1496583,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, January 30, 1940",,,,,,,,
243243,1496584,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Karaj,Female,No,1496584,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, April 3, 1943",,,,,,,,
243244,1496585,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Tomogaon,Male,No,1496585,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, February 2, 1940",,,,,,,,
243245,1496586,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Dashagli,Female,No,1496586,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Thursday, December 5, 1940",,,,,,,,
243246,1496587,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Kirman,Dehishib,Female,No,1496587,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, January 17, 1940",,,,,,,,
243247,1496588,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Kirman,Madenu,Male,No,1496588,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, December 26, 1939",,,,,,,,
243248,1496589,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Kermanshah,Qasrishirin,Female,No,1496589,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, January 6, 1941",,,,,,,,
243249,1496590,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Kermanshah,Qasrishirin,Female,No,1496590,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, January 6, 1941",,,,,,,,
243250,1496591,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Kermanshah,Qasrishirin,Female,No,1496591,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, January 6, 1941",,,,,,,,
243255,1496596,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Khatunabad,Male,No,1496596,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Sunday, February 16, 1947",,,,,,,,
243256,1496597,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Tomogaon,Male,No,1496597,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Sunday, February 2, 1947",,,,,,,,
243257,1496598,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Dehidisk,Female,No,1496598,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, January 31, 1947",,,,,,,,
243258,1496599,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Karaj,Female,No,1496599,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, March 21, 1944",,,,,,,,
243259,1496600,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Karaj,Female,No,1496600,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, April 9, 1943",,,,,,,,
243260,1496601,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Namin,Female,No,1496601,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, November 6, 1940",,,,,,,,
243261,1496602,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Namin,Male,No,1496602,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, November 6, 1940",,,,,,,,
243262,1496603,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Dashagli,Male,No,1496603,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Thursday, December 5, 1940",,,,,,,,
243263,1496604,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Ardibil,Male,No,1496604,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, November 2, 1940",,,,,,,,
243264,1496605,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Karaj,Female,No,1496605,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, March 21, 1944",,,,,,,,
243265,1496606,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Dehidisk,Female,No,1496606,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Thursday, February 1, 1940",,,,,,,,
243266,1496607,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,,No,1496607,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, May 25, 1940",,,,,,,,
243267,1496608,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Male,No,1496608,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, March 15, 1941",,,,,,,,
243268,1496609,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Male,No,1496609,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, November 20, 1942",,,,,,,,
243269,1496610,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Female,No,1496610,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Thursday, March 13, 1941",,,,,,,,
243270,1496611,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Luristan,Durud,Female,No,1496611,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Saturday, March 15, 1941",,,,,,,,
243285,1496626,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Khatunabad,Male,No,1496626,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Tuesday, January 30, 1940",,,,,,,,
243286,1496627,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,,Dehidisk,Female,No,1496627,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, January 31, 1940",,,,,,,,
243287,1496628,FMNH,Birds,Sturnus vulgaris caucasicus,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Esfahan,Esfahan,Female,No,1496628,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, March 4, 1940",,,,,,,,
243288,1496629,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Ardebil,Female,No,1496629,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Monday, November 4, 1940",,,,,,,,
243289,1496630,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Tabriz,Female,No,1496630,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, October 30, 1940",,,,,,,,
243290,1496631,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Tabriz,Female,No,1496631,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Wednesday, October 30, 1940",,,,,,,,
243291,1496632,FMNH,Birds,Sturnus vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. N. Koelz,Asia,Iran,Azarbaijan,Sarab,Male,No,1496632,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color | Tarsus Color,"Friday, November 8, 1940",,,,,,,,
